rate_scenario_id,rate_scenario,annual_interest_rate,household_group,race,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black alone,3,0,21426.2706954,12217.31191414557,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Hispanic,9,2,77740.7902316,28261.43022321148,13334.185728504981,11634.626534394803,0,291.43282173493355,246.02613616875047,366.69010753388693,319.95222969585706,75.25728579895333,74.91121280652352,0,49.47335648727141,33.97226973510652,9.742043469120173,34.97193860819203,29.523136340250062,44.00281290406643,38.39426756350285,9.030874295874398,8.989345536782821,0,9.742043469120173,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Other,20,3,209499.5099441,55369.602903025676,10996.922445169099,6995.95782858348,0,202.33561604320963,118.16278659278976,260.9990106498571,157.78513814765455,58.66339460664745,60.42847928389743,0,21.268291964623565,22.15791764320818,2.346535784265898,24.280273925185156,14.179534391134771,31.31988127798285,18.934216577718544,7.039607352797694,7.251417514067694,0,2.346535784265898,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,White alone,203,24,1310034.8135068996,93753.3573720452,9444.98109264485,4190.399005771373,0,139.70260841450667,39.18457551002015,187.7532916486347,63.36096507575774,48.050683234128016,28.481131339118452,0,14.18092936286687,7.746102395234376,1.9220273293651207,16.764313009740803,4.7021490612024195,22.530394997836165,7.60331580909093,5.766081988095361,3.4177357606942116,0,1.9220273293651207,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black alone,6,1,46378.075284599996,21111.95653980542,11736.101785054801,8689.03121411255,0,322.74279908900706,238.9483583880952,322.74279908900706,238.9483583880952,0,0,0,0,0,0,38.729135890680844,28.67380300657143,38.729135890680844,28.67380300657143,0,0,0,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Other,5,2,53688.5716512,24949.2651514507,20903.693323249652,16766.106858096005,0,574.8515663893654,461.06793859763997,574.8515663893654,461.06793859763997,0,0,0,0,0,0,68.98218796672384,55.32815263171679,68.98218796672384,55.32815263171679,0,0,0,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,White alone,76,10,585771.960895,68376.0487632386,5051.895601125365,1998.436073356632,0,131.41103336203423,52.42009207995741,131.41103336203423,52.42009207995741,0,0,0,3.262032346168243,3.4980956476184373,0,18.085021228698068,6.836218347692309,18.085021228698068,6.836218347692309,0,0,0,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black alone,3,0,21426.2706954,12217.31191414557,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Hispanic,9,2,77740.7902316,28261.43022321148,13334.185728504981,11634.626534394803,0,361.9495587451386,265.71174239033223,605.5006454731429,496.1644322168985,243.55108672800426,242.43110940622498,0,49.47335648727141,33.97226973510652,9.742043469120173,43.43394704941663,31.88540908683987,72.66007745677715,59.53973186602781,29.226130407360515,29.091733128746984,0,9.742043469120173,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Other,20,3,209499.5099441,55369.602903025676,10996.922445169099,6995.95782858348,0,275.8256032229796,168.1073880306797,433.3923901452879,252.08146075257343,157.56678692230824,104.57360488097005,0,100,0,11.033024128919184,33.099072386757555,20.172886563681573,52.00708681743454,30.249775290308815,18.90801443067699,12.548832585716404,0,11.033024128919184,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,White alone,203,24,1310034.8135068996,93753.3573720452,9444.98109264485,4190.399005771373,0,226.7693425704079,54.47592649324441,313.6036604720587,83.93884703110699,86.83431790165085,36.26995143031892,0,33.2757936103192,10.403044706667979,4.5100700446911315,27.212321108448943,6.537111179189332,37.63243925664705,10.072661643732838,10.420118148198103,4.352394171638269,0,4.5100700446911315,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Black alone,6,1,46378.075284599996,21111.95653980542,11736.101785054801,8689.03121411255,0,798.0549213837265,590.8541225596538,798.0549213837265,590.8541225596538,0,0,0,0,0,0,95.766590566047185,70.90249470715841,95.766590566047185,70.90249470715841,0,0,0,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Other,5,2,53688.5716512,24949.2651514507,20903.693323249652,16766.106858096005,0,694.6441159033224,483.52987673798646,694.6441159033224,483.52987673798646,0,0,0,62.96766325072644,33.81196911733825,0,83.35729390839867,58.02358520855835,83.35729390839867,58.02358520855835,0,0,0,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,White alone,76,10,585771.960895,68376.0487632386,5051.895601125365,1998.436073356632,0,258.38561415763036,103.10349288632874,258.38561415763036,103.10349288632874,0,0,0,25.145525337800013,17.53274534284193,0,34.45006054276019,12.619564256863734,34.45006054276019,12.619564256863734,0,0,0,0,2019,SIPP
