rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,20,7,207231.95493170002,55315.7878689735,136534.84201700942,47352.08680211328,3754.708155467759,1302.1823870581159,1612.096236110558,391.9527855405919,1612.096236110558,391.9527855405919,193.45154833326703,47.03433426487101,100,0,100,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,7,2,64553.34334110001,30015.89880611695,41142.73174497489,14607.127161304928,1131.4251229868096,401.69599693588566,1131.4251229868096,401.69599693588566,1131.4251229868096,401.69599693588566,135.77101475841715,48.20351963230626,100,0,100,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,33,6,343965.27271070005,64107.23378141114,126523.05013607339,48931.71141625674,3479.3838787420177,1345.6220639470591,1547.6929962286342,436.5592707533525,1547.6929962286342,436.5592707533525,185.72315954743613,52.38711249040232,100,0,100,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,252,37,1869423.167445329,139727.36770688946,61688.23369623901,15243.184238168258,1696.426426646573,419.1875665496272,1060.9619697114078,153.25498397132787,1060.9619697114078,153.25498397132787,127.76169193267928,18.34093428755753,100,0,100,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Unmarried household,12,2,112697.8099987,42992.28729284068,19757.431267021893,2058.3891850406994,543.3293598431019,56.60570258861918,543.3293598431019,56.60570258861918,543.3293598431019,56.60570258861918,65.19952318117224,6.792684310634308,100,0,100,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,6,1,73622.242022,40034.5222007581,35000,0,962.5,1.0378140918593055e-13,962.5,1.0378140918593055e-13,962.5,1.0378140918593055e-13,115.5,1.2842294184381784e-14,100,0,100,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,18,1,166966.25011670002,41206.697510001606,1999.9999999999998,4.832247859453697e-13,54.99999999999999,1.556721137788958e-14,54.99999999999999,1.556721137788958e-14,54.99999999999999,1.556721137788958e-14,6.6000000000000005,1.908378328783456e-15,100,0,100,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,120,15,880560.9513369995,91628.0738731183,103230.64569690147,30168.34239929079,2838.8427566647906,829.6294159804967,1648.4103847464792,283.74107445719267,1624.2703160585047,281.0240598079903,283.35926722085054,57.055912199517905,100,0,95.84150410198544,4.4698456634666295,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,20,7,207231.95493170002,55315.7878689735,136534.84201700942,47352.08680211328,9284.36925715664,3219.9419025437046,2039.8653919765177,330.5944238581778,2039.8653919765177,330.5944238581778,244.78384703718208,39.671330862981335,100,0,100,0,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,7,2,64553.34334110001,30015.89880611695,41142.73174497489,14607.127161304928,2797.705758658293,993.2846469687349,1906.5857835230604,546.631158658611,1906.5857835230604,546.631158658611,228.79029402276726,65.59573903903333,100,0,100,0,2023,SIPP
