rate_scenario_id,rate_scenario,annual_interest_rate,household_group,race,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black alone,11,3,189849.34061460002,62094.55034763825,34540.5490227376,30396.253853920076,0,284.825021187032,218.39432264213463,512.033793629209,428.0207929530926,227.20877244217698,212.37745893245173,0,54.66835424430519,29.305355265065405,9.088350897687079,38.48304432037146,27.578462705079733,65.7480970134327,52.09333386955676,27.265052693061236,25.4852950718942,0,9.088350897687079,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Hispanic,21,10,248338.16633729998,57169.26680415165,47524.68858842629,21381.550854363544,0,856.0588505173872,275.6080349609777,1123.2220469650022,430.62028704630086,267.1631964476147,207.18136875445794,0,49.1248269436117,18.12945343216102,24.01696340126422,129.86526639931785,42.906022641796625,163.29929125046056,58.07202782761199,33.434024851142716,24.847011575929116,0,24.01696340126422,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Other,35,3,327951.7115868,58012.39230131324,7870.02269799053,6046.421208850069,0,117.87326335531108,75.59409821608263,186.21748030359714,137.66768655561356,68.34421694828607,66.80324783286387,0,29.773959389316463,26.473959452537965,2.733768677931443,14.144791602637332,9.071291785929912,22.346097636431658,16.520122386673634,8.201306033794328,8.01638973994367,0,2.733768677931443,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,White alone,305,43,2554435.9812699975,158246.93298561542,6871.253712802296,1944.295360942397,0,124.4112009173531,27.001402809287676,167.2144496166423,45.209853333174415,42.80324869928918,20.278725581763197,0,14.71646977113947,6.659081482517596,2.1085533433655055,15.847658019385781,3.326742966842427,21.018790538761223,5.477530306108931,5.1711325193754405,2.433961351487745,0,2.1085533433655055,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black alone,10,1,122745.4076142,49854.11205593633,1685.3291773179815,1825.4717565948129,0,46.346552376244496,50.200473306357345,46.346552376244496,50.200473306357345,0,0,0,0,0,0,5.561586285149339,6.024056796762884,5.561586285149339,6.024056796762884,0,0,0,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Hispanic,8,2,120735.06415680001,49238.623195753855,7315.581743286412,8000.68909088513,0,146.2289885682571,154.97403074600723,146.2289885682571,154.97403074600723,0,0,0,53.34707711639308,36.02739394716135,0,32.170377485016566,34.09428676412159,32.170377485016566,34.09428676412159,0,0,0,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Other,11,2,120039.95481880002,35066.13176133397,12861.02505665899,10152.247600885625,0,192.58865272314594,146.07252086106644,192.58865272314594,146.07252086106644,0,0,0,26.659935388262983,30.538168282181733,0,42.3695035990921,32.13595458943462,42.3695035990921,32.13595458943462,0,0,0,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,White alone,129,19,1028004.3437218999,104991.69020957404,12052.14769324063,4166.62454307772,0,236.57973921660295,70.23612703895247,236.57973921660295,70.23612703895247,0,0,0,25.860806518571383,11.026019813444185,0,41.85528119725583,12.928143347283411,41.85528119725583,12.928143347283411,0,0,0,0,2024,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black alone,11,3,189849.34061460002,62094.55034763825,34540.5490227376,30396.253853920076,0,319.1474736600188,224.90373223515797,596.8868145079954,442.762665618325,277.7393408479766,219.44440866226094,0,68.11756061630847,26.814728157401422,11.32421675635078,43.887361485861504,29.218491785703367,82.26913922819865,57.19882951938334,38.38177774233716,28.16370311340697,0,11.32421675635078,2024,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Hispanic,21,10,248338.16633729998,57169.26680415165,47524.68858842629,21381.550854363544,0,1005.7871058309393,297.9896408225032,1808.5343617397768,565.9455151638142,802.7472559088375,279.9349906370359,0,74.91781177270188,13.032343939201741,36.62706731797999,151.23513586049046,45.68676330370407,275.1892561605263,89.23656020006067,123.95412030003588,44.78901741537166,0,36.62706731797999,2024,SIPP
