rate_scenario_id,rate_scenario,annual_interest_rate,household_group,race,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,source,year
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black alone,128,51.6,3109746.151702547,177730.41974737318,16790.64771144007,2228.944168230582,0,404.89786120436145,49.88851830408166,448.11093302901696,58.964870976360146,43.21307182465547,14.707005709969248,0,9.657793382478836,3.0618548424040233,3.9227797169936753,59.99892941785146,7.767645701009804,66.4642678451993,9.040438302914511,6.465338427347851,2.111393358705663,0,3.9227797169936753,SCF,2016
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Hispanic,170.2,45.8,3912526.8034603577,220267.45801510793,10286.480238180777,1084.1783629459424,0,241.5705766788667,19.233845668523763,275.34377141459174,27.93106195157328,33.773194735724985,14.897345464899606,0,9.87114068869485,2.716961211020666,2.785884372633295,38.17128960222432,3.321554156678299,42.605222877899536,3.5553099750377193,4.433933275675222,1.6875206549695625,0,2.785884372633295,SCF,2016
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Other,142,42.2,2950273.927152712,235818.16423675595,15665.138579465705,2566.9772192282703,0,305.50319535521896,35.01635635752885,364.57267229898804,53.01122788086104,59.069476943769125,24.121828018644436,0,12.040480754103484,4.07566909711425,3.871951397481766,51.83148390555806,6.771759022546024,62.178676798862845,10.40665695010611,10.347192893304792,4.665736390199683,0,3.871951397481766,SCF,2016
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,White alone,1289.2,262.2,29172779.889231026,558531.7005299835,7552.499961149174,599.0534841165259,0,176.10366555214165,12.003545516136382,199.4462492328712,15.462329355903682,23.34258368072952,5.142546755877929,0,7.633951061146959,1.3335967301733425,1.6809099401001846,29.94196177136431,2.1686383438666463,34.17171817697721,2.8796195070640445,4.229756405612907,1.0049129723329255,0,1.6809099401001846,SCF,2016
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black alone,206.8,73.4,5083074.44067212,303656.9784696998,12288.886522366258,1068.4099916551568,0,294.52863012080644,23.593137151427836,294.52863012080644,23.593137151427836,0,0,0,8.193754430460734,1.8174921379057614,0,50.15481695746308,4.7703826830537155,50.15481695746308,4.7703826830537155,0,0,0,0,SCF,2016
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Hispanic,134.6,35.6,3340054.5862227557,201477.8432201831,10540.68521147595,1927.5948155559174,0,236.20812622409474,36.03982230042775,236.20812622409474,36.03982230042775,0,0,0,8.438713361499488,3.5311329420355224,0,45.117684485289246,7.709025322519288,45.117684485289246,7.709025322519288,0,0,0,0,SCF,2016
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Other,92,23.4,2115422.810732573,176974.83744718652,6628.836804237064,1663.7318842584057,0,156.61109720912896,37.725183317834464,156.61109720912896,37.725183317834464,0,0,0,7.708912236021023,5.683897999424757,0,28.554806841859104,7.740948931217643,28.554806841859104,7.740948931217643,0,0,0,0,SCF,2016
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,White alone,786.8,158.2,19304150.172312226,519571.8395378658,6866.928374003727,632.7036957818927,0,148.29506219574674,9.97324438170505,148.29506219574674,9.97324438170505,0,0,0,6.035139064190498,1.3395812486214527,0,25.37535404829924,1.8251927334945184,25.37535404829924,1.8251927334945184,0,0,0,0,SCF,2016
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black alone,128,51.6,3109746.151702547,177730.41974737318,16790.64771144007,2228.944168230582,0,671.8533092231477,71.56471678021394,950.0407385253878,115.05790231133042,278.18742930224016,50.95123221049461,0,41.97501499604823,4.667817659107224,17.00024775905817,96.62078848793499,10.341645676547763,140.2370539976835,17.794096261238664,43.61626550974851,8.304555680584986,0,17.00024775905817,SCF,2016
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Hispanic,170.2,45.8,3912526.8034603577,220267.45801510793,10286.480238180777,1084.1783629459424,0,380.41102775541,28.289901621787426,559.1190820337223,43.827348052509755,178.7080542783123,20.117612100771634,0,27.86944574769346,4.261395289919364,8.363580521752821,60.121072814235305,4.876210247573813,88.26107831834688,7.5576488590859094,28.140005504111564,3.569356696695703,0,8.363580521752821,SCF,2016
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Other,142,42.2,2950273.927152712,235818.16423675595,15665.138579465705,2566.9772192282703,0,486.46830779187115,46.20932052038464,693.072266079233,74.84980284958856,206.60395828736182,37.22727198744177,0,30.15275155144076,4.165661399439847,11.280343019630916,82.14170070609426,8.785329949156417,117.72673465942543,14.59962830697582,35.58503395333119,7.166298897088744,0,11.280343019630916,SCF,2016
