source,year,rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,194.8,36.2,4528349.023083432,325001.9179226426,39783.34863248092,7729.371753245558,1094.0420873932253,212.55772321425275,745.2761780779801,99.07833419722809,716.0564386575826,98.52399451054272,138.24227618085266,22.963767536334313,100,0,87.56856679547283,5.097168755697131
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,113,44,3093829.4162202687,272046.974397546,69844.59600811491,8812.37747393327,1920.72639022316,242.34038053316476,1384.1511036767417,111.21409310759775,1371.78274758738,110.31970928167894,215.4955508759048,21.87095366403065,100,0,95.12736555171504,1.8632033390339429
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,136,22.4,2898963.4934423845,219662.1003280522,100337.13075281862,28953.977546899994,2759.271095702513,796.2343825397498,1639.6177690331506,194.81207043609035,1613.5422439322865,194.64318452697694,286.31582745453386,50.26825196147981,100,0,95.17722596873134,1.7704769834085081
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,660.2,133.6,29523341.553030204,897427.0466673671,51017.85917036903,8916.799497776954,1402.9911271851481,245.21198618886612,977.996136989546,64.36074992901239,949.7186354632496,64.75066099686588,165.81251507967053,12.549650961039974,100,0,95.2501718478721,1.1180414727527275
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Unmarried household,179.2,39,4932175.192443173,372187.89534313494,36526.0345242823,4465.144457310251,1004.4659494177635,122.79147257603195,943.7248104495366,112.04441258488606,934.4581353035342,112.0222925598916,158.528282767282,15.463131558460228,100,0,93.74083035549928,2.95222461525678
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,208,76.6,5078161.428618885,374457.27287024696,53085.78481588151,6869.258556114699,1459.8590824367418,188.90461029315415,1046.3669264644561,85.11047503794947,1017.1431355816198,84.34885839994004,180.11700589147313,15.352781991566225,100,0,93.73219191153879,2.248072898257712
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,102.2,28.6,2681615.0276952083,295029.24440823664,29897.078932400065,3688.7503041407845,822.1696706410019,101.44063336387154,818.9398913101769,101.18612074956565,736.0100933264783,82.02046198435428,130.8983570268568,17.070837809358988,100,0,87.22215014107152,8.910247771088013
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,480.6,78.2,22627405.510380115,715324.4999158481,34530.870447992485,3352.997033490703,949.5989373197933,92.20741842099432,826.4631086879969,66.00616040344823,782.2348940366226,66.15765642938716,136.63679421263438,11.20224422413147,100,0,88.47338774323838,3.0140474331673777
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,194.8,36.2,4528349.023083432,325001.9179226426,39783.34863248092,7729.371753245558,2705.2677070087025,525.5972792206979,1296.7622570624785,113.2790286042556,1235.243937604993,109.55513161018882,234.6205863343645,27.9150979814765,100,0,87.56856679547283,5.097168755697131
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,113,44,3093829.4162202687,272046.974397546,69844.59600811491,8812.37747393327,4749.432528551814,599.2416682274625,1828.9452541988844,109.05676361187119,1814.1672796725945,107.80367162799173,275.2130682628803,21.385359329172747,100,0,95.12736555171504,1.8632033390339429
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Married household,136,22.4,2898963.4934423845,219662.1003280522,100337.13075281862,28953.977546899994,6822.924891191667,1968.8704731892026,2017.6840081019484,121.09888265147598,1983.1045821202506,122.00093149368618,339.11980700557365,40.50570676684255,100,0,95.17722596873134,1.7704769834085081
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Married household,660.2,133.6,29523341.553030204,897427.0466673671,51017.85917036903,8916.799497776954,3469.2144235850938,606.3423658488327,1593.6891815488866,73.77175943252502,1552.6761748050326,74.24822817125126,272.1334619799891,14.566234338900058,100,0,95.2501718478721,1.1180414727527275
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Unmarried household,179.2,39,4932175.192443173,372187.89534313494,36526.0345242823,4465.144457310251,2483.770347651197,303.6298230970974,1462.6952458446983,135.2123539436616,1439.7812854836739,134.53723543087088,254.10972144821662,21.467709580423573,100,0,93.74083035549928,2.95222461525678
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Unmarried household,208,76.6,5078161.428618885,374457.27287024696,53085.78481588151,6869.258556114699,3609.8333674799433,467.10958181579986,1600.5746534766818,80.92382444691923,1563.5580260265688,79.95372122898178,276.8659249142307,15.059244286275609,100,0,93.73219191153879,2.248072898257712
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Unmarried household,102.2,28.6,2681615.0276952083,295029.24440823664,29897.078932400065,3688.7503041407845,2033.001367403205,250.83502068157316,1602.7664366600418,144.36043883506633,1474.3308675856738,154.4082730707643,255.1307034170042,31.198244152568364,100,0,87.22215014107152,8.910247771088013
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Unmarried household,480.6,78.2,22627405.510380115,715324.4999158481,34530.870447992485,3352.997033490703,2348.0991904634893,228.0037982773678,1466.9691533232815,83.23026064338852,1395.08459681806,83.86754131327059,246.84111016334668,15.297051203874226,100,0,88.47338774323838,3.0140474331673777
