source,year,household_group,race,black_nonblack,percent_with_student_debt,se_percent_with_student_debt,lower_95_percent_with_student_debt,upper_95_percent_with_student_debt,median_student_debt_positive,se_median_student_debt_positive,lower_95_median_student_debt_positive,upper_95_median_student_debt_positive,mean_student_debt_positive,se_mean_student_debt_positive,lower_95_mean_student_debt_positive,upper_95_mean_student_debt_positive,unweighted_n,weighted_denominator
SCF,2016,Married household,,Black,42.82982510651753,3.4723193226408906,36.02407923414139,49.635570978893675,30200,5316.932223120703,19778.812842683423,40621.18715731658,43037.744843964814,3527.083785278745,36124.660624818476,49950.82906311115,144,3442023.8881908995
SCF,2016,Married household,,Non-Black,22.828131005920287,0.9194984268264582,21.02591408934043,24.630347922500146,18600,1485.3263785996642,15688.760297944658,21511.23970205534,36260.8471965599,1651.0629419169313,33024.76383040271,39496.93056271709,1585.4,35703302.883355744
SCF,2016,Unmarried household,,Black,34.89992544920911,2.3518905557022034,30.290219960032786,39.50963093838543,20640,2893.883705260621,14967.987937689184,26312.012062310816,33793.6185460286,2114.921951292467,29648.371521495363,37938.86557056184,223.2,5479357.871634711
SCF,2016,Unmarried household,,Non-Black,20.306043113019467,0.9286496753001354,18.485889749431202,22.12619647660773,21360,2143.6101602269064,17158.524085955265,25561.475914044735,36309.56438928392,2680.278294541267,31056.21893198304,41562.90984658481,997,24363344.138304953
SCF,2019,Married household,,Black,41.81745326306069,3.0199516711087684,35.89834798768751,47.736558538433876,25800,8496.577198414532,9146.708691107517,42453.29130889248,63933.10560115269,10160.279905809977,44018.95698576514,83847.25421654024,125.2,3465611.338912512
SCF,2019,Married household,,Non-Black,23.24721558519548,0.8461409616101087,21.58877930043967,24.905651869951292,25692,1785.3005923425474,22192.810839008605,29191.189160991395,43093.37823552154,2518.1226378231854,38157.8578653881,48028.89860565498,1380,35737117.16190369
SCF,2019,Unmarried household,,Black,37.66525440780669,2.140334373028652,33.470199036670536,41.86030977894285,30000,4194.388333797544,21778.998865756814,38221.00113424318,40299.57419075717,3124.9994518362687,34174.575265158084,46424.57311635626,258.2,7294015.812067228
SCF,2019,Unmarried household,,Non-Black,19.048475735222162,0.9685591880494546,17.15009972664523,20.946851743799094,22000,2177.1947571767714,17732.69827593353,26267.30172406647,45561.607757013924,3716.75404442547,38276.76982994,52846.44568408785,980.6,27364811.364434894
SCF,2022,Married household,,Black,45.85226312368036,4.703880787369688,36.63265678043577,55.07186946692495,51840,12811.817874383963,26728.836966207433,76951.16303379257,69813.62000582243,8541.979603484553,53071.33998299271,86555.90002865216,120,3293436.1875684243
SCF,2022,Married household,,Non-Black,22.593223823648913,1.4362530158704094,19.778167912542912,25.408279734754913,27200,2871.6609893299114,21571.544460913374,32828.45553908663,53027.56447564645,7728.821432064045,37879.07446880093,68176.05448249198,984,36751047.298207864
SCF,2022,Unmarried household,,Black,40.26635763940975,2.7887335359684893,34.80043990891151,45.73227536990799,27600,4735.923419351357,18317.59009807134,36882.40990192866,51993.69470073982,6057.104275513817,40121.770320732736,63865.6190807469,246.6,6002030.9874960035
SCF,2022,Unmarried household,,Non-Black,17.486978038941096,1.236547580145108,15.063344781856685,19.910611296025507,20000,1632.9450743452082,16799.42765428339,23200.57234571661,33459.007160660396,2501.1258933414474,28556.80040971116,38361.21391160964,723.4,29317326.17164138
