state_name_irs,number_of_returns,adjusted_gross_income_thousands,student_loan_deduction_returns,share_returns_with_student_loan_deduction,student_loan_deduction_amount_thousands,student_loan_deduction_amount_share_of_agi
ALABAMA,2130570,129685877,142940,0.06709002755131256,159358,0.0012287999563745865
ALASKA,356570,26061879,26070,0.07311327369100036,27269,0.0010463174969080318
ARIZONA,3288740,225170677,261360,0.07947116524869707,274167,0.0012175963746824815
ARKANSAS,1288700,75767909,90250,0.07003181500737177,95171,0.0012560858713944448
CALIFORNIA,18638920,1647810500,1080680,0.05797975419176648,1121134,6.803779924936757e-4
COLORADO,2872240,238914798,290480,0.10113361000473498,321718,0.0013465804658947915
CONNECTICUT,1794020,179306035,160050,0.08921305225136844,184087,0.0010266637149162325
DELAWARE,485490,34637713,36820,0.07584090300521124,41398,0.001195171286279784
DISTRICT OF COLUMBIA,351550,37631591,36290,0.10322855923766178,44771,0.0011897185000761727
FLORIDA,10636690,787860543,684310,0.06433486357128017,730682,9.27425553280944e-4
GEORGIA,4753000,321505002,365480,0.07689459288870187,414261,0.001288505613981085
HAWAII,714760,48907740,42880,0.05999216520230567,44993,9.199566367204863e-4
IDAHO,824350,53776530,76840,0.09321283435433979,81613,0.0015176323202705717
ILLINOIS,6174280,483338462,518920,0.08404542715911816,593339,0.0012275849050887243
INDIANA,3216370,200004745,292480,0.09093481160438631,327490,0.0016374111524204088
IOWA,1489460,98952222,170210,0.11427631490607335,186478,0.0018845256451138612
Item,NA,NA,NA,NA,NA,NA
KANSAS,1367910,94210998,127870,0.09347837211512454,137451,0.0014589697903423123
KENTUCKY,1967010,114990513,163690,0.08321767555833473,176257,0.0015327960142242343
LOUISIANA,2049570,121882097,130270,0.06355967349248867,134323,0.0011020732601934146
MAINE,677780,43197573,74310,0.10963734545132639,83687,0.0019373079131089147
MARYLAND,3047050,254317915,227850,0.07477724356344662,259311,0.0010196332413310325
MASSACHUSETTS,3486480,351918940,338670,0.0971380876987678,398357,0.0011319566943455786
MICHIGAN,4850520,319389259,428850,0.08841320105885554,495802,0.0015523440003973334
MINNESOTA,2843060,221932485,337080,0.11856239404022427,383393,0.0017275208719444565
MISSISSIPPI,1280630,65583461,75460,0.05892412328307162,79883,0.0012180357483725967
MISSOURI,2871980,187247577,257060,0.08950619433282962,285874,0.0015267166848305866
MONTANA,529800,33952577,51350,0.09692336730841827,52794,0.0015549335180066008
NEBRASKA,932190,63190928,96580,0.10360548815155708,102547,0.0016228120593513044
NEVADA,1540270,108301659,94180,0.0611451239068475,96174,8.880196378155204e-4
NEW HAMPSHIRE,723640,60533488,81280,0.11232104361284617,96476,0.00159376244765542
NEW JERSEY,4513410,417369226,360100,0.0797844645179587,426168,0.0010210815111701599
NEW MEXICO,962880,55762490,64180,0.06665420405450316,64825,0.0011625198229132164
NEW YORK,9760870,855064157,773750,0.07927059780531859,879528,0.0010286105350104156
NORTH CAROLINA,4796770,322067101,366140,0.07633053075298586,409221,0.001270607891117696
NORTH DAKOTA,371950,27841723,42950,0.1154725097459336,45725,0.0016423193349061047
OHIO,5758920,369792116,526950,0.09150153153716321,618646,0.0016729561643764196
OKLAHOMA,1704060,104824259,122910,0.07212774198091616,127346,0.0012148523749640815
OREGON,2043210,145488206,197950,0.09688186725789322,215617,0.0014820239105842023
PENNSYLVANIA,6354250,460886495,647220,0.10185623795097769,765874,0.0016617410323554827
RHODE ISLAND,551270,39237745,51810,0.09398298474431767,58068,0.0014799015590727755
SOUTH CAROLINA,2356850,149689191,184200,0.07815516473258799,209440,0.0013991658222002148
SOUTH DAKOTA,436360,29072593,50050,0.11469887249060409,55737,0.001917166452954506
TENNESSEE,3147880,205841108,242790,0.07712809891101313,268400,0.0013039183601751697
TEXAS,13334090,975783522,956510,0.07173417908533691,1019035,0.0010443248702451443
UTAH,1430720,106828253,116240,0.0812458063073138,114511,0.0010719168083746535
VERMONT,331630,22419008,39290,0.11847540934173627,44636,0.0019909890749849413
VIRGINIA,4063070,337258295,332070,0.08172884050730113,379508,0.0011252740277299925
WASHINGTON,3757740,345740032,293950,0.07822520983357018,312118,9.027534306469897e-4
WEST VIRGINIA,781130,42994029,58710,0.075160344628935,63594,0.0014791356260191386
WISCONSIN,2913050,202836955,296300,0.10171469765366196,323997,0.0015973272720446823
WYOMING,280640,23510461,20610,0.07343928164196123,21244,9.035977644164442e-4
