income_group,student_loan_deduction_returns,student_loan_deduction_amount_thousands,adjusted_gross_income_thousands,student_loan_deduction_amount_share_of_agi,student_loan_deduction_amount_billions
Under $1,95650,115609,-237896512,-4.859634091650743e-4,0.115609
"$1 under $10,000",310210,284678,99561451,0.002859319517149263,0.284678
"$10,000 under $25,000",1188930,1072235,528586123,0.002028496309957044,1.072235
"$25,000 under $50,000",3639380,3826109,1371402415,0.0027899243563750033,3.826109
"$50,000 under $75,000",2998050,3645066,1357580636,0.002684972003386766,3.645066
"$75,000 under $100,000",1699420,1854305,1226532789,0.0015118266846431611,1.854305
"$100,000 under $200,000",2611410,3096677,2995134860,0.001033902359909096,3.096677
"$200,000 under $500,000",0,0,2089280715,0,0
"$500,000 under $1,000,000",0,0,783628628,0,0
"$1,000,000 or more",0,0,1733599262,0,0
