source,year,rate_scenario_id,rate_scenario,group,impacted_households,SE: impacted households,total_estimated_tax_savings_gain,SE: total estimated tax savings gain,tax_relief_share,SE: tax relief share,population_share,tax_relief_to_population_ratio,SE: tax relief to population ratio,lower_95_impacted_households,upper_95_impacted_households,lower_95_total_estimated_tax_savings_gain,upper_95_total_estimated_tax_savings_gain,lower_95_tax_relief_share,upper_95_tax_relief_share,lower_95_tax_relief_to_population_ratio,upper_95_tax_relief_to_population_ratio,percent_of_impacted_households,SE: percent of impacted households,lower_95_percent_of_impacted_households,upper_95_percent_of_impacted_households
SIPP,2024,R275,Estimated interest at 2.75% annual rate,All binding-constraint married households,139724.5472299,45404.720694955635,29378156.0228465,10373653.598800652,1,0,,,,50731.29466778695,228717.79979201304,9045794.969197225,49710517.07649578,1,1,,,100,0,100,100
SIPP,2024,R275,Estimated interest at 2.75% annual rate,Black,17254.174252,15794.829994745327,5176252.2756,4738448.998423595,0.1761939133135036,0.14754293897948673,0.14447486849786106,1.2195471443956505,1.0212360150490192,0,48212.04104170084,0,14463612.312510245,0,0.4653780737132976,0,3.221169733891728,12.348706504384177,11.995377773078665,0,35.85964693961836
SIPP,2024,R275,Estimated interest at 2.75% annual rate,Non-Black,122470.37297790001,42646.93268213892,24201903.7472465,9360310.767758558,0.8238060866864964,0.14754293897948675,0.8555251315021389,0.9629244733466217,0.1724589185596798,38882.38492090773,206058.3610348923,5855694.642439727,42548112.85205327,0.5346219262867022,1,0.6249049929696493,1.300943953723594,87.65129349561585,41.7478878637393,5.8254332826868165,100
SIPP,2024,R680,Estimated interest at 6.8% annual rate,All binding-constraint married households,225222.74084039996,53492.139509196444,63690345.904143706,17242109.016923893,1,0,,,,120378.14740237493,330067.33427842497,29895812.23097288,97484879.57731453,1,1,,,100,0,100,100
SIPP,2024,R680,Estimated interest at 6.8% annual rate,Black,21498.9508417,16304.44447253299,7286755.19599884,5157884.626535394,0.11440910066598904,0.08125929895196062,0.14447486849786106,0.7918962090467856,0.5624459104675611,0,53455.66200786466,0,17396209.064008214,0,0.27367732661183186,0,1.8942901935632053,9.545639468500584,7.58596172054699,0,24.41412444077268
SIPP,2024,R680,Estimated interest at 6.8% annual rate,Non-Black,203723.7899987,51562.39113242675,56403590.708144866,16675352.343472414,0.8855908993340109,0.08125929895196059,0.8555251315021389,1.0351430562642645,0.09498177897975334,102661.50337914357,304786.0766182564,23719900.114938937,89087281.3013508,0.7263226733881681,1,0.8489787694639479,1.221307343064581,90.45436053149943,31.39551861179434,28.919144052382528,100
SCF,2022,R275,Estimated interest at 2.75% annual rate,All binding-constraint married households,1515638.9293723465,268728.27762514906,356776043.8714206,94168301.50672954,1,0,,,,988931.5052270544,2042346.3535176385,172206172.9182307,541345914.8246105,1,1,,,100,0,100,100
SCF,2022,R275,Estimated interest at 2.75% annual rate,Black,398197.29218036274,86609.27460013921,95387266.8261917,27963994.004363794,0.2666252796329823,0.08174226634857991,0.14447486849786106,1.8454786109525316,0.5657888267937071,228443.1139640899,567951.4703966356,40577838.577638656,150196695.07474473,0.1064104375897657,0.42684012167619895,0.7365325104368656,2.9544247114681976,26.272569572045988,7.3724554406294045,11.822556908412356,40.722582235679624
SCF,2022,R275,Estimated interest at 2.75% annual rate,Non-Black,1117441.6371919834,204511.7662719418,261388777.04522893,72315927.15468998,0.7333747203670176,0.08174226634857991,0.8555251315021389,0.8572217149008253,0.09554630640137482,716598.5752989776,1518284.6990849893,119649559.82203656,403127994.2684213,0.573159878323801,0.8935895624102341,0.6699509543541307,1.04449247544752,73.72743042795399,18.78706134105554,36.904790199485134,100
SCF,2022,R680,Estimated interest at 6.8% annual rate,All binding-constraint married households,3928780.8280291483,422026.4384477846,1225192127.4620476,163133059.62042457,1,0,,,,3101609.0086714905,4755952.647386806,905451330.6060154,1544932924.3180797,1,1,,,100,0,100,100
SCF,2022,R680,Estimated interest at 6.8% annual rate,Black,793618.0986521717,144531.50387053553,259194450.96792498,49905074.42137367,0.2114534504306785,0.037733731036233994,0.14447486849786106,1.4636002277019484,0.26117851103489786,510336.35106592206,1076899.8462384213,161380505.1020326,357008396.83381736,0.13749533759965987,0.28541156326169714,0.9516903460735486,1.9755101093303482,20.20011126582202,4.271048542457925,11.828856122604487,28.571366409039555
SCF,2022,R680,Estimated interest at 6.8% annual rate,Non-Black,3135162.7293769764,365882.0117030152,965997676.4941227,133913435.95348102,0.7885465495693217,0.03773373103623399,0.8555251315021389,0.9217105617748298,0.04410592938395717,2418033.9864390665,3852291.4723148863,703527342.0253,1228468010.9629455,0.7145884367383031,0.8625046624003403,0.8352629401822738,1.0081581833673858,79.79988873417797,12.657380783193082,54.99142239911953,100
