rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,15,6,80081.5653263,21202.85277023631,20219.99785608831,5142.731282281502,556.0499410424286,141.42511026274136,556.0499410424286,141.42511026274136,556.0499410424286,141.42511026274136,85.04881143973212,19.48036341977347,100,0,100,0,2018,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,10,4,55339.205820100004,19465.08278206724,88404.85784763032,46460.51934687134,2431.133590809834,1277.6642820389625,1339.484226634145,607.0680193620344,1339.484226634145,607.0680193620344,160.73810719609742,72.84816232344413,100,0,100,0,2018,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,32,5,189685.45812170004,33923.18420347386,58655.860269978795,13189.410930568994,1613.036157424417,362.7088005906474,1565.0277267946797,333.14261447392107,1565.0277267946797,333.14261447392107,187.80332721536155,39.97711373687053,100,0,100,0,2018,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,234,38,1288856.0695422993,85164.32959058564,40343.286047774694,10749.47274654081,1109.4403663138041,295.6105005298724,822.7286765126939,141.14191184421335,822.7286765126939,141.14191184421335,99.44757228348287,16.877846217517607,100,0,100,0,2018,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Unmarried household,12,6,79984.66979759999,24686.78913167777,25279.967866378687,11926.91485259999,695.1991163254138,327.9901584464999,655.6773118371144,292.9556599021527,655.6773118371144,292.9556599021527,106.59355173620968,60.86751835370218,100,0,100,0,2018,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,14,4,87342.0763195,24676.37403564589,70342.01622864048,41817.59422496471,1934.4054462876136,1149.9838411865296,1183.0813540549605,513.4565312388019,1183.0813540549605,513.4565312388019,141.96976248659524,61.6147837486562,100,0,100,0,2018,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,11,4,67498.06116699999,21346.75980698763,28027.088526657753,23474.287889503354,770.7449344830883,645.5429169613421,490.2638261611672,314.9636493204022,490.2638261611672,314.9636493204022,58.83165913934007,37.79563791844825,100,0,100,0,2018,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,119,17,659673.1721231,62526.816074707865,71078.01242409447,22083.079030024706,1954.6453416625975,607.2846733256794,1179.1862273660213,239.3213315852801,1179.1862273660213,239.3213315852801,195.1791187532048,40.628919684818136,100,0,100,0,2018,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,15,6,80081.5653263,21202.85277023631,20219.99785608831,5142.731282281502,1374.9598542140052,349.7057271951422,1330.9957509864114,332.63060197533696,1330.9957509864114,332.63060197533696,205.02682317275367,48.5739418542441,100,0,100,0,2018,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,10,4,55339.205820100004,19465.08278206724,88404.85784763032,46460.51934687134,6011.530333638862,3159.315315587252,1537.0647987016987,682.6882441726874,1537.0647987016987,682.6882441726874,184.44777584420387,81.92258930072248,100,0,100,0,2018,SIPP
