source,year,household_group,race,black_nonblack,percent_with_student_debt,se_percent_with_student_debt,lower_95_percent_with_student_debt,upper_95_percent_with_student_debt,median_student_debt_positive,se_median_student_debt_positive,lower_95_median_student_debt_positive,upper_95_median_student_debt_positive,mean_student_debt_positive,se_mean_student_debt_positive,lower_95_mean_student_debt_positive,upper_95_mean_student_debt_positive,unweighted_n,weighted_denominator
SIPP,2018,Married household,,Black,54.44720424891988,16.94524473503497,21.234524568251345,87.65988392958842,62000,93323.50473701682,0,244914.06928455297,88404.85784763032,46460.51934687134,0,179467.47576749814,10,55339.205820100004
SIPP,2018,Married household,,Non-Black,18.301120426891767,2.3073319011979097,13.778749900543865,22.82349095323967,20000,2446.0853078609775,15205.672796592484,24794.327203407516,39975.54313171331,8312.484531745888,23683.07344949137,56268.01281393525,281,1558623.0929902992
SIPP,2018,Unmarried household,,Black,31.78578456891796,12.988568942457519,6.328189441701223,57.243379696134696,25000,94841.36579924746,0,210889.07696652503,70342.01622864048,41817.59422496471,0,152304.5009095713,16,107541.70013260002
SIPP,2018,Unmarried household,,Non-Black,22.051233526233457,3.8491450754163012,14.506909178417505,29.59555787404941,20000,6430.39656630911,7396.4227300341445,32603.577269965856,53735.016368828896,14535.82187824544,25244.805487467835,82225.22725018996,140,786956.2792746001
SIPP,2019,Married household,,Black,0,0,0,0,,0,,,,0,,,4,27992.7416104
SIPP,2019,Married household,,Non-Black,13.577559702952739,2.3279607302739196,9.014756671615856,18.14036273428962,30000,7007.2819266817005,16265.727423703867,43734.272576296135,72755.60957597308,21675.198465075304,30272.220584425486,115238.99856752067,231,1590708.6427675998
SIPP,2019,Unmarried household,,Black,33.531719385870865,24.82580346889301,0,82.19029418490116,35000,0,35000,35000,35000,0,35000,35000,6,46378.075284599996
SIPP,2019,Unmarried household,,Non-Black,20.08460716286989,5.351265725262852,9.5961263413547,30.57308798438508,24000,9731.19691165138,4926.854053163297,43073.1459468367,31779.55750998065,9035.65585425024,14069.672035650176,49489.44298431112,81,639460.5325461999
SIPP,2020,Married household,,Black,45.930676723241056,17.691591310304414,11.255157755044408,80.6061956914377,44000,100573.02487910629,0,241123.12876304833,77056.94018067009,23864.688751405734,30282.150227914855,123831.73013342533,12,75691.3852247
SIPP,2020,Married household,,Non-Black,14.88602064410511,2.2096307104414152,10.555144451639936,19.216896836570285,29000,13916.417163432068,1723.8223596731477,56276.17764032685,74413.60831232487,18872.350905349424,37423.80053784,111403.41608680974,278,1773232.5058311005
SIPP,2020,Unmarried household,,Black,51.78047412581345,20.071049709854194,12.441216694499232,91.11973155712766,90000,92945.32442965238,0,272172.83588211867,52087.61062552734,24528.658217542023,4011.440519144977,100163.7807319097,8,76228.673645
