source,year,household_group,race,black_nonblack,percent_with_student_debt,se_percent_with_student_debt,lower_95_percent_with_student_debt,upper_95_percent_with_student_debt,median_student_debt_positive,se_median_student_debt_positive,lower_95_median_student_debt_positive,upper_95_median_student_debt_positive,mean_student_debt_positive,se_mean_student_debt_positive,lower_95_mean_student_debt_positive,upper_95_mean_student_debt_positive,unweighted_n,weighted_denominator
SCF,2016,Married household,Black alone,,40.45594321227292,3.658926820359416,33.284446644368465,47.627439780177376,29600,4449.92228261882,20878.152326067113,38321.84767393289,41499.454086946695,3854.8827892769673,33943.88381996384,49055.02435392955,128,3109746.151702547
SCF,2016,Married household,Hispanic,,28.233091564829593,2.0811932364691845,24.15395282134999,32.312230308309196,17200,2297.331307833411,12697.230636646515,21702.769363353487,36443.63821372816,4221.029006560889,28170.421360868822,44716.8550665875,170.2,3912526.8034603577
SCF,2016,Married household,Other,,32.155023970489374,2.931598001538936,26.40909188747306,37.90095605350569,26000,4757.9283275546,16674.460477992983,35325.53952200702,48717.45682565145,7612.554619893555,33796.849770660076,63638.06388064282,142,2950273.927152712
SCF,2016,Married household,White alone,,21.64120277426001,1.0029261627908315,19.67546749518998,23.606938053330037,18400,2003.8789638207038,14472.397230911422,22327.60276908858,34897.87644341205,1982.049065971454,31013.060274108004,38782.692612716106,1289.2,29172779.889231026
SCF,2016,Unmarried household,Black alone,,34.61174359909665,2.3559544359785862,29.99407290457862,39.22941429361468,23600,3244.9449832774685,17239.90783277616,29960.09216722384,35498.80676231502,2238.3642529698122,31111.612826494187,39886.00069813585,206.8,5083074.44067212
SCF,2016,Unmarried household,Hispanic,,26.367682541636594,2.580606795242553,21.30969322296119,31.425671860311997,23800,5443.702823767981,13130.342465414758,34469.65753458524,39979.79584319976,6137.172446133874,27950.937848777372,52008.65383762215,134.6,3340054.5862227557
SCF,2016,Unmarried household,Other,,24.989876817557793,3.176465978470872,18.764003499754885,31.2157501353607,12100,4433.27637649767,3410.7783020645675,20789.221697935434,26555.668242828615,6286.629854152234,14233.873728690238,38877.46275696699,92,2115422.810732573
SCF,2016,Unmarried household,White alone,,19.11979945163831,1.0413256338566523,17.078801209279273,21.16079769399735,21160,2078.0271888980137,17087.066709759893,25232.933290240107,35916.81861351781,2782.9382850235966,30462.25957487156,41371.37765216406,786.8,19304150.172312226
SCF,2019,Married household,Black alone,,40.61547560802806,2.904666265449507,34.92232972774703,46.3086214883091,41200,10152.753644350712,21300.602857072605,61099.397142927395,71188.6654862399,10750.897762395472,50116.90587194478,92260.42510053502,113.6,3126211.066871209
SCF,2019,Married household,Hispanic,,26.322291639079843,3.2325901904644048,19.98641486576961,32.658168412390076,20400,3693.580830029999,13160.581573141202,27639.4184268588,34170.85277941516,4442.771279812182,25463.021070983283,42878.68448784704,169,4197026.085437779
SCF,2019,Married household,Other,,18.74237716014576,3.3379031675869593,12.20008695167532,25.2846673686162,12240,4158.7176156545675,4088.9134733170476,20391.086526682953,26289.31289661855,4968.958042119212,16550.155134064895,36028.470659172206,112.6,2940085.21158805
SCF,2019,Married household,White alone,,23.605724025205014,1.017154925037616,21.612100372131287,25.59934767827874,26200,2298.8782163216797,21694.19869600951,30705.80130399049,45092.08204162929,2942.6311213759373,39324.52504373246,50859.639039526126,1110,28939406.136919137
SCF,2019,Unmarried household,Black alone,,37.307297796181636,2.3870723926701896,32.62863590654806,41.98595968581521,32600,3728.202338802412,25292.723415947272,39907.27658405273,42243.99245926847,3263.4974309350437,35847.537494635784,48640.447423901154,237.8,6685918.624015565
SCF,2019,Unmarried household,Hispanic,,25.19454262730917,2.9660219504672973,19.381139604393265,31.00794565022507,17200,3773.534540674445,9803.872300278088,24596.12769972191,39530.26271779458,7956.0903042017335,23936.325721559188,55124.19971402998,155,4289937.073434681
SCF,2019,Unmarried household,Other,,27.851647818196767,4.102716823361345,19.81032284440853,35.892972791985,23600,11440.38201623312,1176.8512481830876,46023.148751816916,67989.55902770715,21115.756611534118,26602.67606910028,109376.44198631402,79.6,2358018.171460569
SCF,2019,Unmarried household,White alone,,17.481622382010933,1.122700539822648,15.281129323958544,19.682115440063324,23000,2822.642220597276,17467.62124762934,28532.37875237066,41716.07098421872,3047.5065028486215,35742.95823863542,47689.18372980202,766.4,21324953.307591308
SCF,2022,Married household,Black alone,,45.58779923513764,4.399616925393853,36.964550061365685,54.21104840890959,58600,12758.558619707812,33593.225105372694,83606.7748946273,69844.59600811491,8812.37747393327,52572.336159205704,87116.85585702411,113,3093829.4162202687
SCF,2022,Married household,Hispanic,,25.67829700117515,2.5697555024230074,20.641576216426053,30.715017785924246,17600,3520.0933067962674,10700.617118679316,24499.382881320686,39783.34863248092,7729.371753245558,24633.77999611963,54932.91726884221,194.8,4528349.023083432
SCF,2022,Married household,Other,,22.384911576934623,4.614270887419448,13.340940637592507,31.42888251627674,83654,24608.41503599473,35421.50652945033,131886.49347054967,100337.13075281862,28953.977546899994,43587.33476089463,157086.9267447426,136,2898963.4934423845
SCF,2022,Married household,White alone,,22.32299007933197,1.6313226374548668,19.12559770992043,25.520382448743508,27800,3182.573481374008,21562.155976506943,34037.84402349305,51017.85917036903,8916.799497776954,33540.93215472621,68494.78618601186,660.2,29523341.553030204
SCF,2022,Unmarried household,Black alone,,40.801874100200756,3.0067033617960184,34.90873551108056,46.695012689320954,26000,4717.195543702322,16754.29673434345,35245.70326565655,53085.78481588151,6869.258556114699,39622.0380458967,66549.53158586632,208,5078161.428618885
SCF,2022,Unmarried household,Hispanic,,19.41537991690508,2.502876297652014,14.509742373507134,24.32101746030303,20360,10268.831126292622,233.09099246646292,40486.90900753354,36526.0345242823,4465.144457310251,27774.35138795421,45277.71766061039,179.2,4932175.192443173
SCF,2022,Unmarried household,Other,,29.07663794425696,5.032070980552761,19.21377882237355,38.93949706614037,24000,4866.042654107386,14462.556397949524,33537.44360205048,29897.078932400065,3688.7503041407845,22667.128336284128,37127.029528516,102.2,2681615.0276952083
SCF,2022,Unmarried household,White alone,,16.504910143031964,1.4152594325123482,13.731001655307761,19.278818630756167,20000,2409.060212235544,15278.241984018334,24721.758015981664,34530.870447992485,3352.997033490703,27958.99626235071,41102.74463363426,480.6,22627405.510380115
