state_name_irs,number_of_returns,adjusted_gross_income_thousands,student_loan_deduction_returns,share_returns_with_student_loan_deduction,student_loan_deduction_amount_thousands,student_loan_deduction_amount_share_of_agi
ALABAMA,2149560,159215844,45380,0.02111129719570517,45279,2.8438752615600243e-4
ALASKA,348250,30289519,7840,0.022512562814070353,7316,2.4153569424459993e-4
ARIZONA,3373850,287127454,70980,0.02103827971012345,64719,2.2540164341094322e-4
ARKANSAS,1295860,95807833,26180,0.020202799685151172,24071,2.512425054014112e-4
CALIFORNIA,18487690,1987000701,269370,0.014570235654102811,250268,1.2595264806602603e-4
COLORADO,2972380,297676269,83810,0.028196260235905234,75383,2.5323819145287664e-4
CONNECTICUT,1823240,217323692,57420,0.03149338540181216,57836,2.661283703941492e-4
DELAWARE,503140,42387377,13180,0.026195492308303852,13893,3.277626733071971e-4
DISTRICT OF COLUMBIA,348690,46825089,9840,0.02821990880151424,9811,2.095244282397413e-4
FLORIDA,11130320,1121782194,207920,0.018680505142709285,201898,1.7997967972738208e-4
GEORGIA,4932040,405672589,111670,0.022641746620059855,111767,2.7551035744246454e-4
HAWAII,689960,57676242,12090,0.017522754942315498,10794,1.871481155100223e-4
IDAHO,869500,72860958,19950,0.022944220816561244,17254,2.3680720750336552e-4
ILLINOIS,6112890,580846466,162360,0.026560268547282873,158774,2.733493432324679e-4
INDIANA,3246780,246316586,95250,0.029336758265111895,87917,3.5692683723701824e-4
IOWA,1485900,122342275,54440,0.03663772797631065,45506,3.719564639451081e-4
Item,NA,NA,NA,NA,NA,NA
KANSAS,1361370,112582214,37500,0.027545781088168537,31724,2.8178518500266835e-4
KENTUCKY,1975890,139288462,46960,0.02376650522043231,41731,2.996012691991674e-4
LOUISIANA,1970500,140655941,39450,0.020020299416391777,36591,2.601454281977325e-4
MAINE,710860,54409847,28270,0.03976873083307543,26903,4.94450940102809e-4
MARYLAND,3095140,295351996,69620,0.02249332825009531,71160,2.4093285626551175e-4
MASSACHUSETTS,3567790,422208182,119570,0.033513743802185664,126168,2.988288843724966e-4
MICHIGAN,4871390,379740366,132710,0.027242737699096152,128070,3.372567455733689e-4
MINNESOTA,2871840,264184944,119730,0.04169104128363697,103291,3.909798886949439e-4
MISSISSIPPI,1245240,78974586,24730,0.019859625453727794,24949,3.1591175419393776e-4
MISSOURI,2880050,225671354,76080,0.026416208051943543,69755,3.090999312212218e-4
MONTANA,550380,47309400,15630,0.028398560994222173,12555,2.6538066430772744e-4
NEBRASKA,940690,79864152,28980,0.03080717345778099,24383,3.053059400167424e-4
NEVADA,1553270,145994535,24670,0.015882621823636586,22459,1.5383452538137815e-4
NEW HAMPSHIRE,731910,76794934,30870,0.04217731688322335,32673,4.2545775220016464e-4
NEW JERSEY,4638510,504015160,133920,0.028871340150177536,148808,2.952450874691944e-4
NEW MEXICO,987790,64857077,17950,0.01817187863817208,15301,2.3591874175889858e-4
NEW YORK,9767160,1018899559,244670,0.025050270498282,250060,2.4542163924913427e-4
NORTH CAROLINA,4943390,412484508,119200,0.02411300747058193,114116,2.766552386495931e-4
NORTH DAKOTA,368090,33720657,20320,0.055203890352902824,15867,4.7054243338141366e-4
OHIO,5692070,438525537,171160,0.030069904270326964,168849,3.8503800977045493e-4
OKLAHOMA,1713370,125419368,35560,0.02075441965249771,31212,2.48861084996059e-4
OREGON,2030990,174318031,52000,0.025603277219484095,44841,2.572367284254146e-4
OTHER AREAS [17],849360,100025276,10350,0.012185645662616559,9382,9.379629204922163e-5
PENNSYLVANIA,6325490,549715592,252770,0.039960540606340376,268699,4.887963956459871e-4
PUERTO RICO [16],92010,6843576,600,0.006521030322791001,589,8.606611514214206e-5
RHODE ISLAND,568360,47930497,19010,0.033447110985994795,19003,3.964699135083035e-4
SOUTH CAROLINA,2481150,191369595,65300,0.026318441045482942,65162,3.4050341173580894e-4
SOUTH DAKOTA,441520,38863829,19030,0.043101105272694326,16719,4.301943588728738e-4
TENNESSEE,3247910,267534018,73570,0.02265148972723998,70314,2.6282265158519017e-4
TEXAS,13641000,1252113837,282110,0.02068103511472766,264357,2.1112856689882583e-4
UTAH,1514460,141245443,31580,0.02085231699747765,25103,1.777260877719078e-4
VERMONT,336880,27149664,15910,0.04722749940631679,15156,5.5823895279146e-4
VIRGINIA,4160340,410639684,107550,0.02585125254185956,106732,2.599164283401309e-4
WASHINGTON,3757410,416412736,74180,0.0197423225040653,64330,1.5448614904996566e-4
WEST VIRGINIA,776010,50488126,16820,0.021674978415226608,15220,3.0145701981491646e-4
WISCONSIN,2940980,245188540,102840,0.03496793585811532,86799,3.5400920450849783e-4
WYOMING,280750,30549840,6390,0.02276046304541407,5219,1.7083559193763372e-4
