income_group,student_loan_deduction_returns,student_loan_deduction_amount_thousands,adjusted_gross_income_thousands,student_loan_deduction_amount_share_of_agi,student_loan_deduction_amount_billions
Under $1,42110,50621,-160983232,-3.144488986281503e-4,0.050621
"$1 under $10,000",111840,114132,83828886,0.001361487733476501,0.114132
"$10,000 under $25,000",304900,321261,457838150,7.01691198079496e-4,0.321261
"$25,000 under $50,000",903140,966063,1347272765,7.170507896372418e-4,0.966063
"$50,000 under $75,000",931150,953227,1450741751,6.570618094798321e-4,0.953227
"$75,000 under $100,000",527310,406157,1324629902,3.066192295574496e-4,0.406157
"$100,000 under $200,000",1094780,945275,3568034294,2.649287877052002e-4,0.945275
"$200,000 under $500,000",0,0,2874717803,0,0
"$500,000 under $1,000,000",0,0,1119630122,0,0
"$1,000,000 or more",0,0,2716781710,0,0
